,train_size,loss,test_spearman,test_pearson,test_mse
151,25,bradley_terry,0.762,0.355,6.506
152,25,mse,0.405,0.117,1.036
153,25,bradley_terry,0.854,0.359,61.280
154,25,mse,0.370,0.280,1.040
155,25,bradley_terry,0.595,0.342,0.987
156,25,mse,0.462,0.195,1.003
157,25,bradley_terry,0.623,0.266,1.010
158,25,mse,0.535,0.175,1.080
159,25,bradley_terry,0.622,0.246,1.003
160,25,mse,0.438,0.267,0.995
161,25,bradley_terry,0.840,0.378,748.598
162,25,mse,0.420,0.321,0.942
163,25,bradley_terry,0.682,0.386,0.912
164,25,mse,0.605,0.288,0.947
165,25,bradley_terry,0.492,0.160,0.998
166,25,mse,0.417,0.211,1.038
167,25,bradley_terry,0.782,0.337,1078.588
168,25,mse,0.417,0.269,0.956
169,25,bradley_terry,0.706,0.302,1.019
170,25,mse,0.444,0.114,1.007
171,25,bradley_terry,0.854,0.362,842.776
172,25,mse,0.450,0.282,1.028
173,25,bradley_terry,0.756,0.334,0.948
174,25,mse,0.467,0.125,1.034
175,25,bradley_terry,0.492,0.136,0.993
176,25,mse,0.614,0.261,1.026
177,25,bradley_terry,0.666,0.241,0.999
178,25,mse,0.705,0.404,0.875
179,25,bradley_terry,0.739,0.284,0.990
180,25,mse,0.496,0.274,0.983
181,25,bradley_terry,0.632,0.261,1.033
182,25,mse,0.404,0.052,1.033
183,25,bradley_terry,0.733,0.260,4.066
184,25,mse,0.716,0.366,1.006
185,25,bradley_terry,0.762,0.328,0.909
186,25,mse,0.295,0.150,1.045
187,25,bradley_terry,0.704,0.307,1096.767
188,25,mse,0.643,0.356,1.080
189,25,bradley_terry,0.664,0.374,0.971
190,25,mse,0.441,0.306,0.995
191,25,bradley_terry,0.583,0.319,0.990
192,25,mse,0.479,0.350,2.157
193,25,bradley_terry,0.686,0.413,2.269
194,25,mse,0.521,0.317,0.917
195,25,bradley_terry,0.808,0.365,0.984
196,25,mse,0.482,0.146,1.019
197,25,bradley_terry,0.685,0.242,1.012
198,25,mse,0.511,0.284,1.014
199,25,bradley_terry,0.653,0.311,0.983
200,25,mse,0.518,0.332,0.942
201,25,bradley_terry,0.508,0.231,0.984
202,25,mse,0.629,0.337,0.973
203,25,bradley_terry,0.761,0.407,0.954
204,25,mse,0.175,0.027,1.059
205,25,bradley_terry,0.600,0.233,1.008
206,25,mse,0.308,0.266,0.973
207,25,bradley_terry,0.713,0.296,0.998
208,25,mse,0.402,0.321,0.941
209,25,bradley_terry,0.781,0.326,10.045
210,25,mse,0.417,0.197,1.010
211,25,bradley_terry,0.604,0.308,0.985
212,25,mse,0.292,0.036,1.012
213,25,bradley_terry,0.686,0.236,1.970
214,25,mse,0.464,0.224,0.998
215,25,bradley_terry,0.771,0.273,8.994
216,25,mse,0.629,0.255,1.030
217,25,bradley_terry,0.677,0.230,1.017
218,25,mse,0.441,0.283,0.979
219,25,bradley_terry,0.755,0.395,4.772
220,25,mse,0.581,0.371,0.986
221,25,bradley_terry,0.599,0.307,0.987
222,25,mse,0.168,0.051,1.071
223,25,bradley_terry,0.829,0.369,2.156
224,25,mse,0.575,0.249,0.973
225,25,bradley_terry,0.534,0.235,0.993
226,25,mse,0.566,0.394,0.854
227,25,bradley_terry,0.629,0.284,1.087
228,25,mse,0.522,0.379,1.096
229,25,bradley_terry,0.683,0.285,1.007
230,25,mse,0.396,0.192,1.034
231,25,bradley_terry,0.673,0.320,1.051
232,25,mse,0.565,0.363,0.988
233,25,bradley_terry,0.576,0.288,0.946
234,25,mse,0.484,0.300,0.997
235,25,bradley_terry,0.804,0.364,9.636
236,25,mse,0.486,0.207,1.005
237,25,bradley_terry,0.645,0.283,0.977
238,25,mse,0.580,0.336,0.995
239,25,bradley_terry,0.593,0.224,1.003
240,25,mse,0.442,0.259,1.220
241,25,bradley_terry,0.647,0.385,8.277
242,25,mse,0.161,0.009,1.034
243,25,bradley_terry,0.606,0.249,0.982
