,train_size,loss,test_spearman,test_pearson,test_mse
3220,225,mse,0.698,0.418,0.943
3221,225,bradley_terry,0.985,0.430,32.276
3222,225,mse,0.800,0.710,0.504
3223,225,bradley_terry,0.982,0.401,120.254
3224,225,mse,0.793,0.734,0.461
3225,225,bradley_terry,0.868,0.369,8.321
3226,225,mse,0.703,0.468,0.788
3227,225,bradley_terry,0.876,0.363,8.149
3228,225,mse,0.809,0.718,0.488
3229,225,bradley_terry,0.798,0.366,0.927
3230,225,mse,0.644,0.411,0.902
3231,225,bradley_terry,0.841,0.399,1.176
3232,225,mse,0.716,0.414,0.886
3233,225,bradley_terry,0.863,0.358,4.092
3234,225,mse,0.534,0.376,0.897
3235,225,bradley_terry,0.964,0.416,29.038
3236,225,mse,0.790,0.621,0.626
3237,225,bradley_terry,0.865,0.379,4.700
3238,225,mse,0.627,0.395,0.938
3239,225,bradley_terry,0.782,0.398,1.110
3240,225,mse,0.758,0.740,0.551
3241,225,bradley_terry,0.978,0.405,122.685
3242,225,mse,0.849,0.770,0.463
3243,225,bradley_terry,0.868,0.357,3.122
3244,225,mse,0.811,0.400,0.952
3245,225,bradley_terry,0.836,0.383,0.868
3246,225,mse,0.682,0.808,0.411
3247,225,bradley_terry,0.854,0.365,1.882
3248,225,mse,0.725,0.760,0.429
3249,225,bradley_terry,0.792,0.366,1.003
3250,225,mse,0.822,0.669,0.563
3251,225,bradley_terry,0.982,0.425,26.305
3252,225,mse,0.765,0.690,0.540
3253,225,bradley_terry,0.813,0.381,0.895
3254,225,mse,0.652,0.405,0.919
3255,225,bradley_terry,0.868,0.370,3.582
3256,225,mse,0.714,0.683,0.535
3257,225,bradley_terry,0.807,0.388,1.272
3258,225,mse,0.690,0.568,0.809
3259,225,bradley_terry,0.970,0.476,18.917
3260,225,mse,0.595,0.394,0.961
3261,225,bradley_terry,0.861,0.399,3.619
3262,225,mse,0.559,0.391,0.964
3263,225,bradley_terry,0.814,0.353,0.913
3264,225,mse,0.827,0.798,0.365
3265,225,bradley_terry,0.970,0.388,34.615
3266,225,mse,0.837,0.770,0.430
3267,225,bradley_terry,0.864,0.389,2.449
3268,225,mse,0.741,0.839,0.300
3269,225,bradley_terry,0.872,0.368,4.701
3270,225,mse,0.742,0.406,0.930
3271,225,bradley_terry,0.851,0.385,1.794
3272,225,mse,0.814,0.714,0.500
3273,225,bradley_terry,0.797,0.362,0.914
3274,225,mse,0.677,0.723,0.486
3275,225,bradley_terry,0.856,0.391,2.716
3276,225,mse,0.759,0.439,0.833
3277,225,bradley_terry,0.827,0.365,0.957
3278,225,mse,0.731,0.424,0.933
3279,225,bradley_terry,0.801,0.377,0.881
3280,225,mse,0.750,0.813,0.339
3281,225,bradley_terry,0.962,0.446,16.732
3282,225,mse,0.751,0.797,0.428
3283,225,bradley_terry,0.871,0.364,5.805
3284,225,mse,0.798,0.684,0.537
3285,225,bradley_terry,0.832,0.369,0.902
3286,225,mse,0.726,0.820,0.406
3287,225,bradley_terry,0.938,0.414,11.628
3288,225,mse,0.711,0.607,0.654
3289,225,bradley_terry,0.859,0.376,3.779
3290,225,mse,0.678,0.797,0.751
3291,225,bradley_terry,0.806,0.365,0.870
3292,225,mse,0.701,0.462,0.789
3293,225,bradley_terry,0.836,0.361,1.112
3294,225,mse,0.816,0.703,0.521
3295,225,bradley_terry,0.818,0.345,0.886
3296,225,mse,0.735,0.421,0.863
3297,225,bradley_terry,0.889,0.342,7.184
3298,225,mse,0.692,0.419,0.834
3299,225,bradley_terry,0.824,0.365,0.997
3300,225,mse,0.876,0.750,0.455
3301,225,bradley_terry,0.978,0.426,49.355
3302,225,mse,0.797,0.723,0.480
3303,225,bradley_terry,0.791,0.424,1.395
3304,225,mse,0.700,0.651,0.667
3305,225,bradley_terry,0.808,0.398,0.878
3306,225,mse,0.698,0.417,0.874
3307,225,bradley_terry,0.870,0.358,5.543
3308,225,mse,0.795,0.775,0.431
3309,225,bradley_terry,0.873,0.394,4.042
3310,225,mse,0.707,0.430,0.995
3311,225,bradley_terry,0.851,0.382,2.150
3312,225,mse,0.732,0.404,0.927
3313,225,bradley_terry,0.836,0.388,1.000
3314,225,mse,0.721,0.417,0.840
3315,225,bradley_terry,0.846,0.388,1.227
3316,225,mse,0.691,0.628,0.606
3317,225,bradley_terry,0.845,0.358,1.249
3318,225,mse,0.663,0.390,0.953
3319,225,bradley_terry,0.839,0.367,1.061
3320,225,mse,0.753,0.406,0.948
3321,225,bradley_terry,0.967,0.392,25.875
3322,225,mse,0.760,0.408,0.952
3323,225,bradley_terry,0.958,0.423,71.124
3324,225,mse,0.774,0.758,0.439
3325,225,bradley_terry,0.846,0.382,1.374
3326,225,mse,0.636,0.417,0.897
3327,225,bradley_terry,0.824,0.373,1.067
3328,225,mse,0.665,0.428,0.825
3329,225,bradley_terry,0.974,0.473,17.775
3330,225,mse,0.598,0.381,0.931
3331,225,bradley_terry,0.820,0.338,1.137
3332,225,mse,0.729,0.547,0.713
3333,225,bradley_terry,0.861,0.342,3.461
3334,225,mse,0.779,0.785,0.389
3335,225,bradley_terry,0.885,0.362,6.203
3336,225,mse,0.818,0.423,0.856
3337,225,bradley_terry,0.885,0.379,7.047
3338,225,mse,0.649,0.669,0.562
3339,225,bradley_terry,0.822,0.353,1.395
3340,225,mse,0.791,0.430,0.939
3341,225,bradley_terry,0.816,0.376,1.102
3342,225,mse,0.757,0.776,0.407
3343,225,bradley_terry,0.866,0.361,3.720
3344,225,mse,0.634,0.407,0.890
3345,225,bradley_terry,0.944,0.421,14.830
3346,225,mse,0.749,0.799,0.412
3347,225,bradley_terry,0.849,0.365,1.270
3348,225,mse,0.864,0.832,0.363
3349,225,bradley_terry,0.799,0.397,0.899
3350,225,mse,0.690,0.377,0.911
3351,225,bradley_terry,0.794,0.332,0.892
3352,225,mse,0.728,0.422,0.828
3353,225,bradley_terry,0.938,0.423,41.103
3354,225,mse,0.706,0.404,0.953
3355,225,bradley_terry,0.826,0.373,0.903
3356,225,mse,0.787,0.683,0.550
3357,225,bradley_terry,0.870,0.349,12.376
3358,225,mse,0.679,0.416,0.886
3359,225,bradley_terry,0.868,0.396,3.926
3360,225,mse,0.666,0.420,0.916
3361,225,bradley_terry,0.810,0.352,0.892
3362,225,mse,0.626,0.406,0.979
3363,225,bradley_terry,0.849,0.403,1.154
3364,225,mse,0.858,0.687,0.543
3365,225,bradley_terry,0.955,0.394,37.787
3366,225,mse,0.730,0.599,0.668
3367,225,bradley_terry,0.858,0.375,3.251
3368,225,mse,0.652,0.410,0.952
3369,225,bradley_terry,0.818,0.376,0.989
3370,225,mse,0.732,0.419,0.942
3371,225,bradley_terry,0.869,0.374,5.248
3372,225,mse,0.754,0.426,0.857
3373,225,bradley_terry,0.983,0.434,74.601
3374,225,mse,0.618,0.538,0.722
3375,225,bradley_terry,0.818,0.402,0.880
3376,225,mse,0.735,0.719,0.494
3377,225,bradley_terry,0.961,0.381,78.227
3378,225,mse,0.679,0.428,0.820
3379,225,bradley_terry,0.970,0.462,26.688
3380,225,mse,0.768,0.594,0.669
3381,225,bradley_terry,0.863,0.395,4.668
3382,225,mse,0.800,0.695,0.519
3383,225,bradley_terry,0.825,0.367,0.907
3384,225,mse,0.702,0.742,0.451
3385,225,bradley_terry,0.810,0.367,0.974
3386,225,mse,0.865,0.831,0.314
3387,225,bradley_terry,0.867,0.386,4.256
3388,225,mse,0.640,0.786,0.441
3389,225,bradley_terry,0.797,0.413,0.840
3390,225,mse,0.698,0.424,0.957
3391,225,bradley_terry,0.870,0.359,5.070
3392,225,mse,0.827,0.732,0.548
3393,225,bradley_terry,0.851,0.376,2.611
3394,225,mse,0.791,0.863,0.304
3395,225,bradley_terry,0.865,0.396,2.275
3396,225,mse,0.838,0.715,0.490
3397,225,bradley_terry,0.867,0.390,3.818
3398,225,mse,0.793,0.748,0.450
3399,225,bradley_terry,0.869,0.382,4.274
3400,225,mse,0.770,0.845,0.329
3401,225,bradley_terry,0.869,0.379,4.263
3402,225,mse,0.650,0.397,0.969
3403,225,bradley_terry,0.865,0.385,3.927
3404,225,mse,0.783,0.418,0.858
3405,225,bradley_terry,0.869,0.392,2.746
3406,225,mse,0.724,0.433,0.821
3407,225,bradley_terry,0.865,0.354,4.073
3408,225,mse,0.777,0.422,0.822
3409,225,bradley_terry,0.869,0.350,4.073
3410,225,mse,0.739,0.422,0.855
3411,225,bradley_terry,0.826,0.380,1.260
3412,225,mse,0.732,0.422,0.914
3413,225,bradley_terry,0.819,0.372,1.376
3414,225,mse,0.793,0.644,0.593
3415,225,bradley_terry,0.857,0.397,3.597
3416,225,mse,0.726,0.810,0.349
3417,225,bradley_terry,0.974,0.414,23.882
3418,225,mse,0.642,0.409,0.960
3419,225,bradley_terry,0.817,0.389,0.868
3420,225,mse,0.792,0.763,0.671
3421,225,bradley_terry,0.763,0.390,0.953
3422,225,mse,0.800,0.775,0.406
3423,225,bradley_terry,0.778,0.369,1.104
3424,225,mse,0.669,0.410,0.902
3425,225,bradley_terry,0.873,0.383,8.906
3426,225,mse,0.715,0.414,0.940
3427,225,bradley_terry,0.819,0.386,1.039
3428,225,mse,0.756,0.409,0.953
3429,225,bradley_terry,0.867,0.370,4.228
3430,225,mse,0.730,0.423,0.822
3431,225,bradley_terry,0.824,0.395,0.865
3432,225,mse,0.667,0.408,0.838
3433,225,bradley_terry,0.947,0.430,8.347
3434,225,mse,0.655,0.406,0.963
3435,225,bradley_terry,0.868,0.369,7.246
3436,225,mse,0.698,0.663,0.561
3437,225,bradley_terry,0.987,0.445,80.007
3438,225,mse,0.862,0.792,0.472
3439,225,bradley_terry,0.800,0.373,0.864
3440,225,mse,0.753,0.594,0.648
3441,225,bradley_terry,0.866,0.369,7.755
3442,225,mse,0.743,0.418,0.891
3443,225,bradley_terry,0.812,0.397,1.051
3444,225,mse,0.723,0.378,0.959
3445,225,bradley_terry,0.868,0.356,4.563
3446,225,mse,0.783,0.647,0.800
3447,225,bradley_terry,0.841,0.401,0.874
3448,225,mse,0.661,0.756,0.458
3449,225,bradley_terry,0.720,0.301,0.933
3450,225,mse,0.750,0.701,0.534
3451,225,bradley_terry,0.980,0.472,32.277
3452,225,mse,0.707,0.591,0.690
3453,225,bradley_terry,0.813,0.394,0.860
3454,225,mse,0.814,0.404,0.874
3455,225,bradley_terry,0.809,0.363,1.879
3456,225,mse,0.735,0.415,0.923
3457,225,bradley_terry,0.858,0.343,5.368
3458,225,mse,0.689,0.322,0.970
3459,225,bradley_terry,0.784,0.336,0.909
3460,225,mse,0.740,0.410,0.861
3461,225,bradley_terry,0.882,0.381,4.967
3462,225,mse,0.602,0.349,0.962
3463,225,bradley_terry,0.785,0.347,1.454
3464,225,mse,0.837,0.351,0.962
3465,225,bradley_terry,0.847,0.380,0.967
3466,225,mse,0.664,0.402,0.947
3467,225,bradley_terry,0.866,0.386,4.643
3468,225,mse,0.869,0.639,0.596
3469,225,bradley_terry,0.880,0.364,6.065
3470,225,mse,0.753,0.844,0.335
3471,225,bradley_terry,0.825,0.406,0.842
3472,225,mse,0.783,0.783,0.482
3473,225,bradley_terry,0.827,0.358,0.880
3474,225,mse,0.617,0.402,0.948
3475,225,bradley_terry,0.832,0.387,1.215
3476,225,mse,0.649,0.413,0.965
3477,225,bradley_terry,0.891,0.398,4.495
3478,225,mse,0.669,0.599,0.651
3479,225,bradley_terry,0.813,0.375,1.489
3480,225,mse,0.518,0.380,0.947
3481,225,bradley_terry,0.825,0.405,0.957
3482,225,mse,0.742,0.695,0.541
3483,225,bradley_terry,0.842,0.388,0.889
3484,225,mse,0.874,0.755,0.477
3485,225,bradley_terry,0.845,0.358,1.135
3486,225,mse,0.707,0.742,0.499
3487,225,bradley_terry,0.752,0.390,0.949
3488,225,mse,0.735,0.696,0.518
3489,225,bradley_terry,0.806,0.378,0.860
3490,225,mse,0.800,0.821,0.360
3491,225,bradley_terry,0.852,0.362,0.916
3492,225,mse,0.834,0.752,0.466
3493,225,bradley_terry,0.888,0.392,5.529
3494,225,mse,0.737,0.814,0.352
3495,225,bradley_terry,0.791,0.398,0.891
3496,225,mse,0.800,0.684,0.542
3497,225,bradley_terry,0.964,0.464,31.657
3498,225,mse,0.823,0.771,0.405
3499,225,bradley_terry,0.831,0.376,0.926
3500,225,mse,0.753,0.817,0.335
3501,225,bradley_terry,0.952,0.409,10.662
3502,225,mse,0.756,0.789,0.380
3503,225,bradley_terry,0.824,0.357,0.931
3504,225,mse,0.735,0.598,0.642
3505,225,bradley_terry,0.873,0.362,4.526
3506,225,mse,0.823,0.809,0.349
3507,225,bradley_terry,0.869,0.353,6.214
3508,225,mse,0.684,0.381,0.983
3509,225,bradley_terry,0.873,0.377,6.284
3510,225,mse,0.797,0.731,0.533
3511,225,bradley_terry,0.825,0.379,1.201
3512,225,mse,0.742,0.562,0.700
3513,225,bradley_terry,0.799,0.366,0.884
3514,225,mse,0.701,0.413,0.930
3515,225,bradley_terry,0.862,0.331,6.169
3516,225,mse,0.774,0.824,0.382
3517,225,bradley_terry,0.965,0.428,16.759
3518,225,mse,0.638,0.396,0.993
3519,225,bradley_terry,0.825,0.385,1.263
3520,225,mse,0.818,0.697,0.552
3521,225,bradley_terry,0.872,0.351,7.150
3522,225,mse,0.679,0.405,0.915
3523,225,bradley_terry,0.821,0.385,0.945
3524,225,mse,0.802,0.615,0.660
3525,225,bradley_terry,0.831,0.359,0.886
3526,225,mse,0.761,0.584,0.661
3527,225,bradley_terry,0.837,0.368,1.661
3528,225,mse,0.727,0.349,0.981
3529,225,bradley_terry,0.850,0.350,1.844
3530,225,mse,0.713,0.426,0.835
3531,225,bradley_terry,0.773,0.360,0.880
3532,225,mse,0.787,0.802,0.360
3533,225,bradley_terry,0.794,0.340,0.972
3534,225,mse,0.644,0.407,0.958
3535,225,bradley_terry,0.946,0.442,7.218
3536,225,mse,0.781,0.824,0.343
3537,225,bradley_terry,0.865,0.366,4.990
3538,225,mse,0.697,0.390,0.904
3539,225,bradley_terry,0.985,0.412,56.622
3540,225,mse,0.710,0.379,0.954
3541,225,bradley_terry,0.801,0.344,0.933
3542,225,mse,0.680,0.418,0.880
3543,225,bradley_terry,0.867,0.388,2.832
3544,225,mse,0.753,0.671,0.552
3545,225,bradley_terry,0.848,0.368,1.506
3546,225,mse,0.728,0.410,0.900
3547,225,bradley_terry,0.950,0.416,19.878
3548,225,mse,0.707,0.507,0.763
3549,225,bradley_terry,0.806,0.390,0.981
3550,225,mse,0.794,0.715,0.505
3551,225,bradley_terry,0.871,0.389,6.790
3552,225,mse,0.725,0.408,0.851
3553,225,bradley_terry,0.864,0.352,4.097
3554,225,mse,0.827,0.785,0.412
3555,225,bradley_terry,0.763,0.359,0.885
3556,225,mse,0.730,0.481,0.772
3557,225,bradley_terry,0.945,0.431,10.523
3558,225,mse,0.624,0.818,0.343
3559,225,bradley_terry,0.832,0.353,1.007
3560,225,mse,0.678,0.415,0.970
3561,225,bradley_terry,0.802,0.341,0.986
3562,225,mse,0.736,0.732,0.468
3563,225,bradley_terry,0.866,0.367,5.922
3564,225,mse,0.705,0.667,0.577
3565,225,bradley_terry,0.866,0.363,10.549
3566,225,mse,0.772,0.842,0.291
3567,225,bradley_terry,0.826,0.384,0.895
3568,225,mse,0.790,0.790,0.623
3569,225,bradley_terry,0.863,0.357,3.892
3570,225,mse,0.781,0.676,0.594
3571,225,bradley_terry,0.812,0.367,0.884
3572,225,mse,0.740,0.694,0.533
3573,225,bradley_terry,0.814,0.356,0.884
3574,225,mse,0.760,0.407,0.932
3575,225,bradley_terry,0.873,0.381,3.941
3576,225,mse,0.631,0.383,0.977
3577,225,bradley_terry,0.876,0.371,4.802
3578,225,mse,0.594,0.390,0.888
3579,225,bradley_terry,0.865,0.381,4.577
3580,225,mse,0.707,0.859,0.318
3581,225,bradley_terry,0.871,0.385,3.917
3582,225,mse,0.839,0.812,0.458
3583,225,bradley_terry,0.771,0.371,0.892
3584,225,mse,0.597,0.367,0.931
3585,225,bradley_terry,0.989,0.448,107.401
3586,225,mse,0.692,0.400,0.897
3587,225,bradley_terry,0.767,0.365,0.905
3588,225,mse,0.686,0.850,0.278
3589,225,bradley_terry,0.868,0.357,6.365
3590,225,mse,0.654,0.384,0.952
3591,225,bradley_terry,0.836,0.359,1.288
3592,225,mse,0.736,0.554,0.746
3593,225,bradley_terry,0.881,0.335,8.162
3594,225,mse,0.844,0.774,0.401
3595,225,bradley_terry,0.844,0.406,0.976
3596,225,mse,0.670,0.422,0.829
3597,225,bradley_terry,0.792,0.417,1.066
3598,225,mse,0.684,0.637,0.679
3599,225,bradley_terry,0.879,0.346,15.622
3600,250,mse,0.865,0.722,0.623
3601,250,bradley_terry,0.876,0.345,16.526
3602,250,mse,0.720,0.786,0.388
3603,250,bradley_terry,0.873,0.374,3.682
3604,250,mse,0.784,0.730,0.468
3605,250,bradley_terry,0.869,0.353,4.875
3606,250,mse,0.784,0.403,0.934
3607,250,bradley_terry,0.883,0.345,5.725
3608,250,mse,0.615,0.407,0.861
3609,250,bradley_terry,0.869,0.380,5.734
3610,250,mse,0.704,0.636,0.723
3611,250,bradley_terry,0.867,0.371,3.414
3612,250,mse,0.680,0.425,0.927
3613,250,bradley_terry,0.867,0.374,4.264
3614,250,mse,0.868,0.648,0.632
3615,250,bradley_terry,0.867,0.371,3.759
3616,250,mse,0.815,0.722,0.504
3617,250,bradley_terry,0.846,0.358,1.174
3618,250,mse,0.808,0.361,0.972
3619,250,bradley_terry,0.941,0.432,15.858
3620,250,mse,0.725,0.430,0.907
3621,250,bradley_terry,0.866,0.333,7.090
3622,250,mse,0.719,0.407,0.872
3623,250,bradley_terry,0.866,0.354,4.102
3624,250,mse,0.743,0.425,0.910
3625,250,bradley_terry,0.871,0.355,6.695
3626,250,mse,0.678,0.389,0.928
3627,250,bradley_terry,0.880,0.382,4.817
3628,250,mse,0.769,0.720,0.495
3629,250,bradley_terry,0.865,0.389,3.846
3630,250,mse,0.709,0.415,0.981
3631,250,bradley_terry,0.886,0.345,13.728
3632,250,mse,0.840,0.770,0.420
3633,250,bradley_terry,0.873,0.373,4.727
3634,250,mse,0.711,0.440,0.807
3635,250,bradley_terry,0.866,0.386,6.137
3636,250,mse,0.762,0.429,0.880
3637,250,bradley_terry,0.873,0.332,21.642
3638,250,mse,0.673,0.393,0.976
3639,250,bradley_terry,0.972,0.420,47.381
3640,250,mse,0.713,0.595,0.661
3641,250,bradley_terry,0.860,0.340,6.025
3642,250,mse,0.692,0.387,0.987
3643,250,bradley_terry,0.871,0.370,4.013
3644,250,mse,0.853,0.732,0.476
3645,250,bradley_terry,0.855,0.384,1.619
3646,250,mse,0.678,0.521,0.741
3647,250,bradley_terry,0.871,0.379,3.434
3648,250,mse,0.678,0.403,0.885
3649,250,bradley_terry,0.867,0.356,16.686
3650,250,mse,0.698,0.427,0.824
3651,250,bradley_terry,0.867,0.352,9.005
3652,250,mse,0.624,0.418,0.845
3653,250,bradley_terry,0.850,0.401,1.226
3654,250,mse,0.681,0.409,0.932
3655,250,bradley_terry,0.868,0.384,4.017
3656,250,mse,0.749,0.426,0.840
3657,250,bradley_terry,0.884,0.377,3.086
3658,250,mse,0.843,0.683,0.536
3659,250,bradley_terry,0.922,0.417,6.318
3660,250,mse,0.667,0.401,0.945
3661,250,bradley_terry,0.876,0.330,5.226
3662,250,mse,0.757,0.740,0.480
3663,250,bradley_terry,0.868,0.350,6.079
3664,250,mse,0.803,0.609,0.655
3665,250,bradley_terry,0.868,0.358,5.955
3666,250,mse,0.574,0.403,0.966
3667,250,bradley_terry,0.896,0.353,5.493
3668,250,mse,0.833,0.518,0.799
3669,250,bradley_terry,0.844,0.388,0.922
3670,250,mse,0.689,0.412,0.960
3671,250,bradley_terry,0.854,0.394,1.469
3672,250,mse,0.790,0.804,0.437
3673,250,bradley_terry,0.866,0.349,12.270
3674,250,mse,0.680,0.409,0.937
3675,250,bradley_terry,0.866,0.376,4.299
3676,250,mse,0.744,0.397,0.986
3677,250,bradley_terry,0.865,0.359,3.911
3678,250,mse,0.703,0.422,0.848
3679,250,bradley_terry,0.853,0.377,1.384
3680,250,mse,0.832,0.745,0.445
3681,250,bradley_terry,0.871,0.354,14.356
3682,250,mse,0.738,0.630,0.610
3683,250,bradley_terry,0.855,0.370,3.609
3684,250,mse,0.825,0.686,0.541
3685,250,bradley_terry,0.879,0.345,17.701
3686,250,mse,0.669,0.821,0.409
3687,250,bradley_terry,0.865,0.348,4.077
3688,250,mse,0.783,0.687,0.539
3689,250,bradley_terry,0.870,0.362,18.129
3690,250,mse,0.806,0.584,0.711
3691,250,bradley_terry,0.865,0.346,7.546
3692,250,mse,0.739,0.419,0.937
3693,250,bradley_terry,0.836,0.393,0.894
3694,250,mse,0.870,0.831,0.317
3695,250,bradley_terry,0.861,0.377,1.884
3696,250,mse,0.622,0.399,0.975
3697,250,bradley_terry,0.865,0.392,2.024
3698,250,mse,0.735,0.418,0.975
3699,250,bradley_terry,0.952,0.373,41.152
3700,250,mse,0.673,0.419,0.931
3701,250,bradley_terry,0.963,0.409,28.447
3702,250,mse,0.650,0.525,0.726
3703,250,bradley_terry,0.868,0.350,3.379
3704,250,mse,0.663,0.405,0.918
3705,250,bradley_terry,0.914,0.344,29.533
3706,250,mse,0.731,0.443,0.822
3707,250,bradley_terry,0.848,0.399,1.018
3708,250,mse,0.711,0.703,0.541
3709,250,bradley_terry,0.984,0.437,41.298
3710,250,mse,0.715,0.391,0.898
3711,250,bradley_terry,0.813,0.350,0.882
3712,250,mse,0.662,0.418,0.826
3713,250,bradley_terry,0.861,0.385,2.766
3714,250,mse,0.780,0.429,0.858
3715,250,bradley_terry,0.867,0.389,4.263
3716,250,mse,0.713,0.436,0.811
3717,250,bradley_terry,0.871,0.400,4.193
3718,250,mse,0.791,0.428,0.966
3719,250,bradley_terry,0.862,0.345,5.750
3720,250,mse,0.697,0.402,0.952
3721,250,bradley_terry,0.856,0.381,1.009
3722,250,mse,0.833,0.748,0.446
3723,250,bradley_terry,0.872,0.361,5.875
3724,250,mse,0.846,0.639,0.610
3725,250,bradley_terry,0.866,0.353,3.710
3726,250,mse,0.802,0.623,0.618
3727,250,bradley_terry,0.942,0.429,14.125
3728,250,mse,0.832,0.720,0.485
3729,250,bradley_terry,0.867,0.356,6.315
3730,250,mse,0.860,0.819,0.363
3731,250,bradley_terry,0.866,0.376,2.913
3732,250,mse,0.848,0.692,0.526
3733,250,bradley_terry,0.888,0.367,7.680
3734,250,mse,0.716,0.403,0.954
3735,250,bradley_terry,0.864,0.345,7.210
3736,250,mse,0.630,0.378,0.963
3737,250,bradley_terry,0.866,0.355,4.716
3738,250,mse,0.816,0.715,0.490
3739,250,bradley_terry,0.949,0.426,14.482
3740,250,mse,0.752,0.373,0.921
3741,250,bradley_terry,0.960,0.444,21.481
3742,250,mse,0.695,0.444,0.806
3743,250,bradley_terry,0.859,0.379,2.229
3744,250,mse,0.789,0.775,0.402
3745,250,bradley_terry,0.867,0.363,6.423
3746,250,mse,0.601,0.373,0.973
3747,250,bradley_terry,0.869,0.344,17.204
3748,250,mse,0.665,0.378,0.970
3749,250,bradley_terry,0.868,0.374,5.187
3750,250,mse,0.835,0.759,0.454
3751,250,bradley_terry,0.867,0.378,3.770
3752,250,mse,0.698,0.419,0.898
3753,250,bradley_terry,0.870,0.390,6.816
3754,250,mse,0.765,0.617,0.637
3755,250,bradley_terry,0.870,0.368,10.458
3756,250,mse,0.742,0.724,0.477
3757,250,bradley_terry,0.902,0.364,12.117
3758,250,mse,0.808,0.784,0.391
3759,250,bradley_terry,0.844,0.387,0.889
3760,250,mse,0.752,0.646,0.592
3761,250,bradley_terry,0.870,0.358,7.503
3762,250,mse,0.888,0.831,0.325
3763,250,bradley_terry,0.869,0.350,4.227
3764,250,mse,0.656,0.415,0.844
3765,250,bradley_terry,0.866,0.369,3.115
3766,250,mse,0.729,0.424,0.853
3767,250,bradley_terry,0.873,0.340,10.073
3768,250,mse,0.882,0.611,0.656
3769,250,bradley_terry,0.943,0.430,6.736
3770,250,mse,0.818,0.772,0.414
3771,250,bradley_terry,0.853,0.376,1.548
3772,250,mse,0.875,0.798,0.412
3773,250,bradley_terry,0.874,0.353,7.849
3774,250,mse,0.786,0.415,0.956
3775,250,bradley_terry,0.825,0.346,0.969
3776,250,mse,0.723,0.755,0.458
3777,250,bradley_terry,0.863,0.380,4.655
3778,250,mse,0.653,0.402,0.948
3779,250,bradley_terry,0.874,0.351,5.991
3780,250,mse,0.858,0.650,0.587
3781,250,bradley_terry,0.861,0.375,1.632
3782,250,mse,0.564,0.370,0.974
3783,250,bradley_terry,0.837,0.403,0.888
3784,250,mse,0.701,0.707,0.525
3785,250,bradley_terry,0.981,0.420,33.511
3786,250,mse,0.751,0.735,0.480
3787,250,bradley_terry,0.945,0.408,12.767
3788,250,mse,0.739,0.558,0.728
3789,250,bradley_terry,0.879,0.382,4.569
3790,250,mse,0.710,0.414,0.831
3791,250,bradley_terry,0.872,0.393,5.528
3792,250,mse,0.642,0.426,0.851
3793,250,bradley_terry,0.869,0.372,3.526
3794,250,mse,0.769,0.409,0.916
3795,250,bradley_terry,0.867,0.342,6.155
3796,250,mse,0.710,0.572,0.692
3797,250,bradley_terry,0.857,0.382,1.788
3798,250,mse,0.694,0.492,0.782
3799,250,bradley_terry,0.838,0.387,2.070
3800,250,mse,0.710,0.416,0.831
3801,250,bradley_terry,0.877,0.387,4.215
3802,250,mse,0.806,0.761,0.463
3803,250,bradley_terry,0.862,0.375,5.017
3804,250,mse,0.767,0.501,0.755
3805,250,bradley_terry,0.891,0.375,4.376
3806,250,mse,0.812,0.753,0.602
3807,250,bradley_terry,0.864,0.331,6.172
3808,250,mse,0.731,0.407,0.946
3809,250,bradley_terry,0.873,0.396,4.168
3810,250,mse,0.779,0.750,0.448
3811,250,bradley_terry,0.861,0.374,3.920
3812,250,mse,0.666,0.418,0.883
3813,250,bradley_terry,0.872,0.389,5.115
3814,250,mse,0.666,0.426,0.911
3815,250,bradley_terry,0.855,0.373,1.979
3816,250,mse,0.747,0.427,0.873
3817,250,bradley_terry,0.871,0.354,6.466
3818,250,mse,0.764,0.798,0.484
3819,250,bradley_terry,0.871,0.350,6.771
3820,250,mse,0.897,0.701,0.545
3821,250,bradley_terry,0.955,0.410,15.371
3822,250,mse,0.621,0.402,0.998
3823,250,bradley_terry,0.867,0.408,4.129
3824,250,mse,0.714,0.384,0.891
3825,250,bradley_terry,0.846,0.350,1.832
3826,250,mse,0.860,0.715,0.508
3827,250,bradley_terry,0.851,0.377,1.232
3828,250,mse,0.836,0.638,0.643
3829,250,bradley_terry,0.867,0.346,8.222
3830,250,mse,0.764,0.728,0.476
3831,250,bradley_terry,0.889,0.365,4.616
3832,250,mse,0.687,0.391,0.957
3833,250,bradley_terry,0.883,0.400,4.277
3834,250,mse,0.811,0.607,0.694
3835,250,bradley_terry,0.856,0.375,1.530
3836,250,mse,0.768,0.760,0.692
3837,250,bradley_terry,0.865,0.328,13.438
3838,250,mse,0.732,0.736,0.483
3839,250,bradley_terry,0.852,0.361,1.216
3840,250,mse,0.730,0.580,0.716
3841,250,bradley_terry,0.855,0.375,1.310
3842,250,mse,0.755,0.411,0.952
3843,250,bradley_terry,0.871,0.354,5.855
3844,250,mse,0.639,0.401,0.968
3845,250,bradley_terry,0.819,0.390,0.907
3846,250,mse,0.737,0.649,0.588
3847,250,bradley_terry,0.855,0.382,0.932
3848,250,mse,0.820,0.575,0.685
3849,250,bradley_terry,0.858,0.367,3.926
3850,250,mse,0.841,0.641,0.631
3851,250,bradley_terry,0.939,0.380,11.848
3852,250,mse,0.817,0.653,0.632
3853,250,bradley_terry,0.862,0.377,4.723
3854,250,mse,0.766,0.660,0.600
