,nonlinearity,alpha,loss,entropy,test_spearman,test_pearson,test_mse
77,exponential,0.1,bradley_terry,2.228170345689556,0.999,0.999,610.427
78,exponential,0.1,mse,1.836847968161258,1.000,1.000,0.001
79,exponential,0.1,bradley_terry,1.836847968161258,1.000,0.999,954.273
80,exponential,0.1,mse,2.2566665291534016,1.000,1.000,0.000
81,exponential,0.1,bradley_terry,2.2566665291534016,0.999,0.999,1797.618
82,exponential,0.1,mse,2.0768530681735777,1.000,1.000,0.000
83,exponential,0.1,bradley_terry,2.0768530681735777,0.998,0.998,1208.545
84,exponential,0.1,mse,2.202860541479707,1.000,1.000,0.000
85,exponential,0.1,bradley_terry,2.202860541479707,0.996,0.996,283.052
86,exponential,0.1,mse,2.476504595251686,1.000,1.000,0.001
87,exponential,0.1,bradley_terry,2.476504595251686,0.996,0.996,145.649
88,exponential,0.1,mse,2.2354521966675076,1.000,1.000,0.000
89,exponential,0.1,bradley_terry,2.2354521966675076,1.000,0.999,995.341
90,exponential,0.1,mse,2.2589118188767645,1.000,1.000,0.000
91,exponential,0.1,bradley_terry,2.2589118188767645,0.997,0.997,247.342
92,exponential,0.1,mse,2.1666303612032745,1.000,1.000,0.001
93,exponential,0.1,bradley_terry,2.1666303612032745,1.000,1.000,1536.268
94,exponential,0.1,mse,2.304356914514114,1.000,1.000,0.001
95,exponential,0.1,bradley_terry,2.304356914514114,0.999,0.997,432.732
96,exponential,0.1,mse,1.8187113597704956,1.000,1.000,0.001
97,exponential,0.1,bradley_terry,1.8187113597704956,0.998,0.998,444.109
98,exponential,0.1,mse,2.5284497174032055,1.000,1.000,0.001
99,exponential,0.1,bradley_terry,2.5284497174032055,1.000,0.999,418.530
100,exponential,0.13869188565300278,mse,2.1497372542097506,1.000,1.000,0.001
101,exponential,0.13869188565300278,bradley_terry,2.1497372542097506,1.000,0.999,493.404
102,exponential,0.13869188565300278,mse,2.3658576203154733,1.000,1.000,0.000
103,exponential,0.13869188565300278,bradley_terry,2.3658576203154733,1.000,0.999,1678.123
104,exponential,0.13869188565300278,mse,2.2122966079481463,0.999,0.999,0.002
105,exponential,0.13869188565300278,bradley_terry,2.2122966079481463,0.996,0.996,195.520
106,exponential,0.13869188565300278,mse,2.095098172084021,1.000,1.000,0.000
